1-01-01-02-a,1-01-01-02,PLASA BANDA ACEH,"JL. TENGKU NYAK ARIF, BANDA ACEH KOTA",a,"5.55683277112968,95.3235881030559",GEDUNG PLASA,KOTA BANDA ACEH,,
1-01-01-03-a,1-01-01-03,PLASA SABANG,"JL. PERDAGANGAN - KOTA BAWAH, SABANG KOTA",a,"5.89051934584218,95.3216555714607",GEDUNG PERKANTORAN,KOTA SABANG,,
1-01-01-03-b,1-01-01-03,PLASA SABANG,"JL. PERDAGANGAN - KOTA BAWAH, SABANG KOTA",b,"5.89051934584218,95.3216555714607",GEDUNG PLASA,KOTA SABANG,,
1-01-01-04-a,1-01-01-04,STO / PLASA JANTHO,"JL. A. MAJID IBRAHIM, KAB. ACEH BESAR",a,"5.2965217649852,95.6093828380107",GEDUNG PERANGKAT STO,KAB. ACEH BESAR,,
1-01-01-05-a,1-01-01-05,STO / PLASA LAMNO,"JL. PASAR LAMNO, BANDA ACEH - MEULABOH KM 80, KAB. ACEH JAYA",a,"5.08928215286084,95.3661252558231",GEDUNG PERANGKAT STO,KAB. ACEH JAYA,,
1-01-01-05-b,1-01-01-05,STO / PLASA LAMNO,"JL. PASAR LAMNO, BANDA ACEH - MEULABOH KM 80, KAB. ACEH JAYA",b,"5.08928215286084,95.3661252558231",GEDUNG PLASA,KAB. ACEH JAYA,,
1-01-01-06-a,1-01-01-06,STO / PLASA MEREUDUE,"JL. ISKANDAR MUDA, MEUREUDU, KAB. PIDIE",a,"5.251219,96.247873",GEDUNG PERANGKAT STO,KAB. PIDIE,,
1-01-01-07-a,1-01-01-07,STO / PLASA SIGLI,"JL. ISKANDAR MUDA, KAB. SIGLI",a,"5.38245803962106,95.9579922258853",GEDUNG PERANGKAT STO,KAB. PIDIE,,
1-01-01-08-a,1-01-01-08,STO / PLASA TANGSE,"JL. MESJID TANGSE, KAB. PIDIE",a,"5.013714,95.925748",GEDUNG PERANGKAT STO,KAB. PIDIE,,
1-01-01-09-a,1-01-01-09,STO DARUSSALAM,"JL. RATU SAFIATUDDIN, BANDA ACEH KOTA",a,"5.56973482714927,95.3360818326473",GEDUNG PERANGKAT STO,KOTA BANDA ACEH,,
